Year,Name,Rank,Country,Region,DOB,Gender,Self Made,Generation,Industry,Industry Aggregator,Company,Company Info,Company Acquired,Net Worth US Billion,Count
2011,Terry Gou,179.0,Taiwan,East Asia,1951,male,self-made,Unknown,Technology-Computer,New Sectors,Foxconn,founder non-finance,new,5.7,1
2002,Mustafa Rahmi Koc,180.0,Turkey,Middle East/North Africa,1931,male,inherited,Third generation,Money Management,Financial,Koc Holding,inherited,new,2.3,1
2002,Charles Dolan,180.0,United States,North America,1927,male,self-made,Unknown,Media,Non-Traded Sectors,Cablevision and HBO,founder non-finance,new,2.3,1
2002,Steven Udvar-Hazy,180.0,United States,North America,1946,male,self-made,Unknown,Other,other,International Lease Finance Corporation,founder non-finance,new,2.3,1
2002,Ray Hunt,180.0,United States,North America,1943,male,inherited,inherited from father,Energy,Resource Related,Hunt Oil. Co,inherited,new,2.3,1
2000,Abdul Aziz Al Ghurair,180.0,United Arab Emirates,Middle East/North Africa,1954,male,inherited,inherited from father,Money Management,Financial,Al-Ghurair Group,inherited,new,2.4,1
2002,Hiroshi Yamauchi,180.0,Japan,East Asia,1928,male,inherited,Third generation,Technology-Computer,New Sectors,Nintendo,inherited,new,2.3,1
2002,Eugenio Garza Lagnera,180.0,Mexico,Latin America,Unknown,male,inherited,Third generation,beverages,other,Femsa,inherited,new,2.3,1
2002,George Kaiser,180.0,United States,North America,1943,male,inherited,inherited from father,Energy,Resource Related,Kaiser-Francis Oil Company,inherited,new,2.3,1
2002,Laurence Tisch,180.0,United States,North America,1923,male,self-made,Unknown,Consumer,Traded Sectors,Loews Corporation,founder non-finance,new,2.3,1
2002,Gianni Agnelli,180.0,Italy,Europe,Unknown,male,inherited,Third generation,Consumer,Traded Sectors,Fiat,inherited,new,2.3,1
2002,Robert Bosch Jr,180.0,Germany,Europe,1928,male,inherited,inherited from father,Consumer,Traded Sectors,Robert Bosch GmbH,inherited,new,2.3,1
2002,Amos Hosetter Jr,180.0,United States,North America,1937,male,self-made,Unknown,Media,Non-Traded Sectors,Continental Cablevision,founder non-finance,new,2.3,1
2006,Gordon Moore,181.0,United States,North America,1929,male,self-made,Unknown,Technology-Computer,New Sectors,Intel ,founder non-finance,new,3.7,1
2006,Anacleto Angelini,181.0,Chile,Latin America,1914,male,self-made,Unknown,Energy,Resource Related,Angelini Group,privatized and resources,new,3.7,1
2006,Henry Fok,181.0,Hong Kong,East Asia,1924,male,self-made,Unknown,Real Estate,Financial,Sociedade de Turismo e Divers?es de Macau,self-made finance,new,3.7,1
2006,Bernard Sherman,181.0,Canada,North America,1942,male,inherited,inherited from father,Technology-Medical,New Sectors,Empire Laboratories,inherited,new,3.7,1
2000,Soichiro Fukutake,181.0,Japan,East Asia,1946,male,inherited,inherited from father,Other,other,Benesse Corporation,inherited,new,2.4,1
2001,Kerry Packer,182.0,Australia,North America,1938,male,inherited,Third generation,Media,Non-Traded Sectors,Consolidated Press Holdings Limited,inherited,aquired,2.5,1
2001,Eugenio Garza Lagnera,182.0,Mexico,Latin America,Unknown,male,inherited,Third generation,beverages,other,Femsa,inherited,new,2.5,1
2001,Joan Kroc,182.0,United States,North America,1929,female,inherited,spouse or widow,"Retail, Restaurant",Non-Traded Sectors,McDonald's,inherited,new,2.5,1
2013,Stephen Schwarzman,182.0,United States,North America,1947,male,self-made,Unknown,Hedge funds,Financial,Blackstone Group,self-made finance,new,6.5,1
2013,Dietmar Hopp,182.0,Germany,Europe,1941,male,self-made,Unknown,Technology-Computer,New Sectors,SAP AG,founder non-finance,new,6.5,1
2001,Mustafa Rahmi Koc,182.0,Turkey,Middle East/North Africa,1931,male,inherited,Third generation,Money Management,Financial,Koc Holding,inherited,new,2.5,1
2013,Idan Ofer,182.0,Israel,Middle East/North Africa,1956,male,inherited,inherited from father,Consumer,Traded Sectors,Zodiac Maritime Agencies,inherited,new,6.5,1
2001,Bernard Ecclestone,182.0,United Kingdom,Europe,1931,male,self-made,Unknown,Other,other,Formula One Group,executive,aquired,2.5,1
2001,Robert Rowling,182.0,United States,North America,1954,male,self-made,Unknown,Money Management,Financial,Tana Exploration Company,self-made finance,new,2.5,1
2000,Hugo Mann,182.0,Germany,Europe,1914,male,self-made,Unknown,"Retail, Restaurant",Non-Traded Sectors,Mann Mobilia,founder non-finance,new,2.4,1
2001,Takemitsu Takizaki,182.0,Japan,East Asia,1946,male,self-made,Unknown,Technology-Computer,New Sectors,Keyence,founder non-finance,new,2.5,1
2011,Shiv Nadar,182.0,India,South Asia,1946,male,self-made,Unknown,Technology-Computer,New Sectors,HCL,founder non-finance,new,5.6,1
2001,Alan Gerry,182.0,United States,North America,1930,male,self-made,Unknown,Media,Non-Traded Sectors,Cablevision Industries,founder non-finance,new,2.5,1
2011,Hiroshi Mikitani,182.0,Japan,East Asia,1965,male,self-made,Unknown,"Retail, Restaurant",Non-Traded Sectors,Rakuten,founder non-finance,new,5.6,1
2001,Otto Beisheim,182.0,Germany,Europe,1924,male,self-made,Unknown,"Retail, Restaurant",Non-Traded Sectors,Metro AG,founder non-finance,new,2.5,1
2013,Ira Rennert,182.0,United States,North America,1934,male,self-made,Unknown,Money Management,Financial,Renco ,self-made finance,new,6.5,1
2013,Nassef Sawiris,182.0,Egypt,Middle East/North Africa,1962,male,inherited,inherited from father,Constrution,Non-Traded Sectors,Orascom,inherited,new,6.5,1
2001,Michael and Rainer Schmidt-Ruthenbeck,182.0,Germany,Europe,Unknown,male,inherited,Third generation,"Retail, Restaurant",Non-Traded Sectors,Metro AG,inherited,new,2.5,1
2013,Shiv Nadar,182.0,India,South Asia,1946,male,self-made,Unknown,Technology-Computer,New Sectors,HCL,founder non-finance,new,6.5,1
2013,Nicky Oppenheimer,182.0,South Africa,Sub-Saharan Africa,1946,male,inherited,Third generation,Mining and metals,Resource Related,De Beers,inherited,new ,6.5,1
2001,John Malone,182.0,United States,North America,1941,male,self-made,Unknown,Media,Non-Traded Sectors,Tele-Communications Inc,executive,merger,2.5,1
2011,Nassef Sawiris,182.0,Egypt,Middle East/North Africa,1962,male,inherited,inherited from father,Constrution,Non-Traded Sectors,Orascom,inherited,new,5.6,1
2001,David Rockefeller,182.0,United States,North America,1916,male,inherited,Third generation,Energy,Resource Related,Standard Oil,inherited,new,2.5,1
2009,Saleh Al Rajhi,183.0,Saudi Arabia,Middle East/North Africa,1912,male,self-made,Unknown,Money Management,Financial,Al-Rajhi Bank,self-made finance,new,3.3,1
2009,Iskander Makhmudov,183.0,Russia,Europe,1963,male,self-made,Unknown,Mining and metals,Resource Related,Ural Mining and Metallurgical Company,privatized and resources,new,3.3,1
2009,Tsai Wan-tsai,183.0,Taiwan,East Asia,1930,male,self-made,Unknown,Money Management,Financial,Fubon Financial holding Company,self-made finance,new,3.3,1
2009,Charles Cadogan,183.0,United Kingdom,Europe,1938,male,inherited,Fifth generation or longer,Real Estate,Financial,Cadogan Estates,inherited,new,3.3,1
2009,Ty Warner,183.0,United States,North America,1944,male,self-made,Unknown,Consumer,Traded Sectors,Ty Inc.,founder non-finance,new,3.3,1
2014,Vincent Bollore,183.0,France,Europe,1953,male,inherited,Third generation,Money Management,Financial,Bollore,inherited,new,7.4,1
2000,Galen Weston,183.0,Canada,North America,1941,male,inherited,Third generation,"Retail, Restaurant",Non-Traded Sectors,George Weston Limited,inherited,new,2.4,1
2009,Adi Godrej,183.0,India,South Asia,1943,male,inherited,Third generation,Money Management,Financial,Godrej Group,inherited,new,3.3,1
2009,Americo Amorim,183.0,Portugal,Europe,1935,male,inherited,Third generation,Mining and metals,Resource Related,Corticeira Amorim,inherited,new,3.3,1
2009,David Murdock,183.0,United States,North America,1924,male,self-made,Unknown,Consumer,Traded Sectors,Dole Food Company,executive,aquired,3.3,1
2012,Viktor Rashnikov,183.0,Russia,Europe,1949,male,self-made,Unknown,Energy,Resource Related,Magnitogorsk Metallurgical Enterprise,privatized and resources,privatization,5.6,1
2014,Michael Hartono,184.0,Indonesia,East Asia,1940,male,self-made,Unknown,Consumer,Traded Sectors,Djarum,executive,new,7.3,1
2012,Stephen Schwarzman,184.0,United States,North America,1947,male,self-made,Unknown,Hedge funds,Financial,Blackstone Group,self-made finance,new,5.5,1
2012,David Geffen,184.0,United States,North America,1943,male,self-made,Unknown,Media,Non-Traded Sectors,Asylum Records/Geffen Records/Dreamworks,founder non-finance,new,5.5,1
2014,Jim Pattison,184.0,Canada,North America,1929,male,self-made,Unknown,Money Management,Financial,Jim Pattison Group,self-made finance,new,7.3,1
2012,Dietmar Hopp,184.0,Germany,Europe,1941,male,self-made,Unknown,Technology-Computer,New Sectors,SAP AG,founder non-finance,new,5.5,1
2000,Victor and William Fung,184.0,Hong Kong,East Asia,Unknown,male,Unknown,Unknown,"Retail, Restaurant",Non-Traded Sectors,Unknown,Unknown,Unknown,2.3,1
2012,Terry Gou,184.0,Taiwan,East Asia,1951,male,self-made,Unknown,Technology-Computer,New Sectors,Foxconn,founder non-finance,new,5.5,1
2012,Charoen Sirivadhanabhakdi,184.0,Thailand,East Asia,1945,male,self-made,Unknown,Consumer,Traded Sectors,ThaiBev,privatized and resources,privatization,5.5,1
2006,Thomas Strungmann,185.0,Germany,Europe,1950,male,Unknown,Unknown,Technology-Medical,New Sectors,Unknown,Unknown,Unknown,3.6,1
2006,Viktor Rashnikov,185.0,Russia,Europe,1949,male,self-made,Unknown,Energy,Resource Related,Magnitogorsk Metallurgical Enterprise,privatized and resources,privatization,3.6,1
2011,Boris Ivanishvili,185.0,Russia,Europe,1956,male,Unknown,Unknown,Money Management,Financial,Unknown,Unknown,Unknown,5.5,1
2011,Carlos Alberto Sicupira,185.0,Brazil,Latin America,1948,male,self-made,Unknown,Consumer,Traded Sectors,Ambev,founder non-finance,aquired,5.5,1
2006,Rupert Johnson,185.0,United States,North America,1941,male,inherited,inherited from father,Money Management,Financial,Franklin Resources,inherited,new,3.6,1
2011,Sergei Galitsky,185.0,Russia,Europe,1968,male,self-made,Unknown,"Retail, Restaurant",Non-Traded Sectors,Magnit,founder non-finance,new,5.5,1
2000,Bruno Schroder,185.0,United Kingdom,Europe,1933,male,inherited,Fourth generation,Money Management,Financial,Schroders,inherited,new,2.3,1
2011,Wu Yajun,185.0,China,East Asia,1964,female,self-made,Unknown,Real Estate,Financial,Longfor Properties,privatized and resources,new,5.5,1
2006,Masatoshi Ito,185.0,Japan,East Asia,1925,male,self-made,Unknown,"Retail, Restaurant",Non-Traded Sectors,Ito-Yokado,founder non-finance,new,3.6,1
2006,Ralph Lauren,185.0,United States,North America,1939,male,self-made,Unknown,Consumer,Traded Sectors,Ralph Lauren,founder non-finance,new,3.6,1
2006,Kwek Leng Beng,185.0,Singapore,East Asia,1941,male,inherited,inherited from father,Diversified financial,Financial,Hong Leong Group,inherited,new,3.6,1
2011,He Xiangjian,185.0,China,East Asia,1943,male,self-made,Unknown,Consumer,Traded Sectors,Midea,founder non-finance,new,5.5,1
2006,Andreas Strungmann,185.0,Germany,Europe,1950,male,Unknown,Unknown,Technology-Medical,New Sectors,Unknown,Unknown,Unknown,3.6,1
2006,Pallonji Mistry,185.0,India,South Asia,1930,male,inherited,inherited from father,Constrution,Non-Traded Sectors,?Shapoorji Pallonji Group,inherited,new,3.6,1
2011,Gennady Timchenko,185.0,Russia,Europe,1953,male,self-made,Unknown,Energy,Resource Related,Gunvor Group,privatized and resources,new,5.5,1
2006,David and Simon Reuben,185.0,United Kingdom,Europe,1943,male,Unknown,Unknown,Money Management,Financial,Unknown,Unknown,Unknown,3.6,1
2011,Graeme Hart,185.0,New Zealand,North America,1956,male,self-made,Unknown,Money Management,Financial,Rank Group,self-made finance,new,5.5,1
2004,Michael and Rainer Schmidt-Ruthenbeck,186.0,Germany,Europe,Unknown,male,inherited,Third generation,"Retail, Restaurant",Non-Traded Sectors,Metro AG,inherited,new,2.7,1
2004,Ferit Sahenk,186.0,Turkey,Middle East/North Africa,1964,male,inherited,inherited from father,Money Management,Financial,Dogus Holding,inherited,new,2.7,1
2004,Otto Beisheim,186.0,Germany,Europe,1924,male,self-made,Unknown,"Retail, Restaurant",Non-Traded Sectors,Metro AG,founder non-finance,new,2.7,1
2004,Otto Happel,186.0,Germany,Europe,1948,male,inherited,inherited from father,Other,other,GEA Group,inherited,new,2.7,1
2004,Vagit Alekperov,186.0,Russia,Europe,1951,male,self-made,Unknown,Energy,Resource Related,Lukoil,privatized and resources,new,2.7,1
2004,Sammy and Yuli Ofer,186.0,Israel,Middle East/North Africa,Unknown,married couple,Unknown,Unknown,Consumer,Traded Sectors,Unknown,Unknown,Unknown,2.7,1
2014,Johann Graf,186.0,Austria,Europe,1947,male,self-made,Unknown,Consumer,Traded Sectors,Novomatic Automatenhandels AG,founder non-finance,new,7.2,1
2014,Heinz Hermann Thiele,186.0,Germany,Europe,1942,male,self-made,Unknown,Consumer,Traded Sectors,Knorr-Bremse AG,executive,new,7.2,1
2000,Michel David-Weill,186.0,France,Europe,Unknown,male,inherited,inherited from father,Money Management,Financial,Lazard,inherited,new,2.2,1
2004,Preston Tisch,186.0,United States,North America,1927,male,self-made,Unknown,Consumer,Traded Sectors,Loews Corporation,founder non-finance,new,2.7,1
2004,Robert Rowling,186.0,United States,North America,1954,male,self-made,Unknown,Money Management,Financial,Tana Exploration Company,self-made finance,new,2.7,1
2004,Edgar Bronfman,186.0,United States,North America,1929,male,inherited,inherited from father,Consumer,Traded Sectors,Seagrams,inherited,new,2.7,1
2014,Peter Woo,186.0,Hong Kong,East Asia,1946,male,inherited,inherited from father,Real Estate,Financial,Worldwide Shipping Group,inherited,new,7.2,1
2004,Karl Wlaschek,186.0,Austria,Europe,1918,male,self-made,Unknown,"Retail, Restaurant",Non-Traded Sectors,BILLA,founder non-finance,new,2.7,1
2004,A Jerrold Perenchio,186.0,United States,North America,1931,male,self-made,Unknown,Media,Non-Traded Sectors,Univision,executive,aquired,2.7,1
2014,Augusto & Giorgio Perfetti,186.0,Italy,Europe,Unknown,male,inherited,inherited from father,Consumer,Traded Sectors,Perfetti Van Melle,inherited,new,7.2,1
2004,Sunil Mittal,186.0,India,South Asia,1958,male,self-made,Unknown,Media,Non-Traded Sectors,Bharti Enterprises,founder non-finance,new,2.7,1
2000,Bernard Ecclestone,187.0,United Kingdom,Europe,1931,male,self-made,Unknown,Other,other,Formula One Group,executive,aquired,2.2,1
2005,David Filo,188.0,United States,North America,1967,male,self-made,Unknown,Technology-Computer,New Sectors,Yahoo!,founder non-finance,new,3.1,1
2005,Heidi Horten,188.0,Austria,Europe,1941,female,inherited,spouse or widow,"Retail, Restaurant",Non-Traded Sectors,Horten AG,inherited,new,3.1,1
2007,Henry Ross Perot Sr,188.0,United States,North America,1931,male,self-made,Unknown,Technology-Computer,New Sectors,Electronic Data Systems,founder non-finance,new,4.4,1
2005,Nina Wang,188.0,Hong Kong,East Asia,Unknown,female,inherited,spouse or widow,Real Estate,Financial,Chinachem Group,inherited,new,3.1,1
2007,Kunio Busujima,188.0,Japan,East Asia,1982,male,self-made,Unknown,"Retail, Restaurant",Non-Traded Sectors,Sankyo,founder non-finance,new,4.4,1
2005,Sammy and Yuli Ofer,188.0,Israel,Middle East/North Africa,Unknown,married couple,Unknown,Unknown,Consumer,Traded Sectors,Unknown,Unknown,Unknown,3.1,1
2007,Saleh Al Rajhi,188.0,Saudi Arabia,Middle East/North Africa,1912,male,self-made,Unknown,Money Management,Financial,Al-Rajhi Bank,self-made finance,new,4.4,1
2005,Wang Yue-che,188.0,Taiwan,East Asia,1917,male,self-made,Unknown,Consumer,Traded Sectors,Formosa Plastics,founder non-finance,new,3.1,1
2005,Leslie Wexner,188.0,United States,North America,1942,male,self-made,Unknown,Consumer,Traded Sectors,Limited Brands,founder non-finance,new,3.1,1
2007,Jeffrey Bezos,188.0,United States,North America,1964,male,self-made,Unknown,"Retail, Restaurant",Non-Traded Sectors,Amazon,founder non-finance, new,4.4,1
2007,Stef Wertheimer,188.0,Israel,Middle East/North Africa,1926,male,self-made,Unknown,Consumer,Traded Sectors,ISCAR,founder non-finance,new,4.4,1
2007,Bernard Sherman,188.0,Canada,North America,1942,male,inherited,inherited from father,Technology-Medical,New Sectors,Empire Laboratories,inherited,new,4.4,1
2000,Dietmar Hopp,188.0,Germany,Europe,1941,male,self-made,Unknown,Technology-Computer,New Sectors,SAP AG,founder non-finance,new,2.2,1
2012,Alexander Abramov,189.0,Russia,Europe,1959,male,self-made,Unknown,Energy,Resource Related,EvrazHolding,privatized and resources,aquired,5.4,1
2008,Julio Mario Santo Domingo,189.0,Colombia,Latin America,1924,male,self-made,Unknown,Consumer,Traded Sectors,Santo Domingo Group,founder non-finance,aquired,5.4,1
2010,Micky Arison,189.0,United States,North America,1950,male,inherited,inherited from father,"Retail, Restaurant",Non-Traded Sectors,Carnival Corporation,inherited,new,4.4,1
2013,Stefano Pessina,189.0,Italy,Europe,1942,male,self-made,Unknown,Technology-Medical,New Sectors,Alliance Boots,executive,aquired,6.4,1
2008,Michael Kadoorie,189.0,Hong Kong,East Asia,1941,male,inherited,inherited from father,Money Management,Financial,CLP Holdings,inherited,new,5.4,1
2008,Steven Jobs,189.0,United States,North America,1955,male,self-made,Unknown,Technology-Computer,New Sectors,Apple,founder non-finance,new,5.4,1
2010,Wang Chuanfu,189.0,China,East Asia,1966,male,self-made,Unknown,Consumer,Traded Sectors,BYD Company,founder non-finance,new,4.4,1
2013,Heinz Hermann Thiele,189.0,Germany,Europe,1942,male,self-made,Unknown,Consumer,Traded Sectors,Knorr-Bremse AG,executive,new,6.4,1
2010,Lee Shin Cheng,189.0,Malaysia,East Asia,1940,male,self-made,Unknown,Mining and metals,Resource Related,IOI Group,privatized and resources,new,4.4,1
2010,Andrei Melnichenko,189.0,Russia,Europe,1972,male,Unknown,Unknown,Energy,Resource Related,Unknown,Unknown,Unknown,4.4,1
2000,Hiroshi Mikitani,189.0,Japan,East Asia,1965,male,self-made,Unknown,"Retail, Restaurant",Non-Traded Sectors,Rakuten,founder non-finance,new,2.2,1
2010,Leonid Mikhelson,189.0,Russia,Europe,1956,male,self-made,Unknown,Energy,Resource Related,Novatek,privatized and resources,new,4.4,1
2008,Micky Arison,189.0,United States,North America,1950,male,inherited,inherited from father,"Retail, Restaurant",Non-Traded Sectors,Carnival Corporation,inherited,new,5.4,1
2010,Karl Wlaschek,189.0,Austria,Europe,1918,male,self-made,Unknown,"Retail, Restaurant",Non-Traded Sectors,BILLA,founder non-finance,new,4.4,1
2008,Hasso Plattner,189.0,Germany,Europe,1944,male,self-made,Unknown,Technology-Computer,New Sectors,SAP AG,founder non-finance,new,5.4,1
2012,Gautam Adani,189.0,India,South Asia,1963,male,self-made,Unknown,Mining and metals,Resource Related,Adani Group,privatized and resources,new,5.4,1
2010,Elizabeth Mohn,189.0,Germany,Europe,1941,female,inherited,spouse or widow,Media,Non-Traded Sectors,Bertelsmann,inherited,new,4.4,1
2012,Ira Rennert,189.0,United States,North America,1934,male,self-made,Unknown,Money Management,Financial,Renco ,self-made finance,new,5.4,1
2010,Robert Rowling,189.0,United States,North America,1954,male,self-made,Unknown,Money Management,Financial,Tana Exploration Company,self-made finance,new,4.4,1
2012,Thomas Peterffy,189.0,United States,North America,1945,male,self-made,Unknown,Other,other,Interactive Brokers,self-made finance,new,5.4,1
2014,He Xiangjian,190.0,China,East Asia,1943,male,self-made,Unknown,Consumer,Traded Sectors,Midea,founder non-finance,new,7.1,1
2000,Anthony O'Reilly,190.0,Ireland,Europe,1937,male,self-made,Unknown,Media,Non-Traded Sectors,Independent News & Media,executive,new,2.2,1
2014,Eyal Ofer,191.0,Israel,Middle East/North Africa,1951,male,inherited,inherited from father,Other,other,Zodiac Maritime Agencies,inherited,new,7.0,1
2002,Jeffrey Skoll,191.0,Canada,North America,1965,male,self-made,Unknown,Technology-Computer,New Sectors,Ebay,executive,new,2.2,1
2002,Philippe Foriel-Destezet,191.0,France,Europe,1936,male,self-made,Unknown,Other,other,Adecco,executive,aquired,2.2,1
2014,Kumar Birla,191.0,India,South Asia,1968,male,inherited,Fourth generation,Mining and metals,Resource Related,Aditya Birla Group,inherited,new,7.0,1
2009,Boris Ivanishvili,191.0,Russia,Europe,1956,male,Unknown,Unknown,Money Management,Financial,Unknown,Unknown,Unknown,3.2,1
2002,Mikhail Fridman,191.0,Russia,Europe,1965,male,self-made,Unknown,Energy,Resource Related,Alfa Group,privatized and resources,new,2.2,1
2013,Eli Broad,191.0,United States,North America,1934,male,self-made,Unknown,Money Management,Financial,"Kaufman and Broad, SunAmerica",self-made finance,new/aquired,6.3,1
2002,Steven Spielberg,191.0,United States,North America,1947,male,self-made,Unknown,Media,Non-Traded Sectors,DreamWorks,founder non-finance,new,2.2,1
2013,Chung Mong-Koo,191.0,South Korea,East Asia,1938,male,inherited,inherited from father,Consumer,Traded Sectors,Hyundai,inherited,new,6.3,1
2009,Jean-Claude Decaux,191.0,France,Europe,1938,male,self-made,Unknown,Media,Non-Traded Sectors,JCDecaux,founder non-finance,new,3.2,1
2009,Richard Kinder,191.0,United States,North America,1947,male,self-made,Unknown,Non-consumer industrial,Traded Sectors,Kinder Morgan Energy Partners,founder non-finance,new,3.2,1
2002,Saleh Kamel,191.0,Saudi Arabia,Middle East/North Africa,1942,male,self-made,Unknown,Money Management,Financial,Dallah al Baraka Group,self-made finance,new,2.2,1
2014,Graeme Hart,191.0,New Zealand,North America,1956,male,self-made,Unknown,Money Management,Financial,Rank Group,self-made finance,new,7.0,1
2009,Theodore Lerner,191.0,United States,North America,1926,male,Unknown,Unknown,Real Estate,Financial,Unknown,Unknown,Unknown,3.2,1
2002,Gerard Louis-Dreyfus,191.0,France,Europe,1933,male,inherited,Fourth generation,Money Management,Financial,Louis Dreyfus Group,inherited,new,2.2,1
2002,Henry Nicholas,191.0,United States,North America,1963,male,self-made,Unknown,Technology-Computer,New Sectors,Broadcom Corporation,founder non-finance,new,2.2,1
2009,Stephen Ross,191.0,United States,North America,1941,male,self-made,Unknown,Real Estate,Financial,The Related Companies,self-made finance,new,3.2,1
2002,Abdullah Al Rajhi,191.0,Saudi Arabia,Middle East/North Africa,Unknown,male,self-made,Unknown,Money Management,Financial,Al Rajhi bank,self-made finance,new,2.2,1
2014,Ralph Lauren,191.0,United States,North America,1939,male,self-made,Unknown,Consumer,Traded Sectors,Ralph Lauren,founder non-finance,new,7.0,1
2013,Kushal Pal Singh,191.0,India,South Asia,1932,male,inherited,inherited from father,Real Estate,Financial,DLF Limited,inherited,new,6.3,1
2000,Shari Arison,191.0,Israel,Middle East/North Africa,1958,female,inherited,inherited from father,"Retail, Restaurant",Non-Traded Sectors,Carnival Corporation,inherited,new,2.1,1
2014,Dietmar Hopp,191.0,Germany,Europe,1941,male,self-made,Unknown,Technology-Computer,New Sectors,SAP AG,founder non-finance,new,7.0,1
2002,John Dorrance,191.0,Ireland,Europe,1944,male,inherited,Third generation,Consumer,Traded Sectors,Campbell Soup,inherited,aquired,2.2,1
2003,Sulaiman Al Rajhi,192.0,Saudi Arabia,Middle East/North Africa,1920,male,self-made,Unknown,Money Management,Financial,Al Rajhi bank,self-made finance,new,2.1,1
2000,John Dorrance,192.0,Ireland,Europe,1944,male,inherited,Third generation,Consumer,Traded Sectors,Campbell Soup,inherited,aquired,2.1,1
2003,Leslie Wexner,192.0,United States,North America,1942,male,self-made,Unknown,Consumer,Traded Sectors,Limited Brands,founder non-finance,new,2.1,1
2011,Zhang Zhirong,192.0,Hong Kong,East Asia,1969,male,self-made,Unknown,Non-consumer industrial,Traded Sectors,China Rongsheng,executive,new,5.4,1
2003,Gerard Louis-Dreyfus,192.0,France,Europe,1933,male,inherited,Fourth generation,Money Management,Financial,Louis Dreyfus Group,inherited,new,2.1,1
2003,Martha Ingram,192.0,United States,North America,1936,female,inherited,spouse or widow,"Retail, Restaurant",Non-Traded Sectors,Ingram Industries,inherited,new,2.1,1
2003,Rafael del Pino,192.0,Spain,Europe,1921,male,inherited,inherited from father,Constrution,Non-Traded Sectors,Ferrovial,inherited,new,2.1,1
2003,Gerald Cadogan,192.0,United Kingdom,Europe,1938,male,inherited,Fifth generation or longer,Real Estate,Financial,Cadogan Estates,inherited,new,2.1,1
2003,Gordon Getty,192.0,United States,North America,1941,male,inherited,inherited from father,Energy,Resource Related,Getty ,inherited,new,2.1,1
2012,Dietrich Mateschitz,193.0,Austria,Europe,1945,male,self-made,Unknown,Consumer,Traded Sectors,Red Bull,founder non-finance,new,5.3,1
2011,Charles Butt,193.0,United States,North America,1939,male,inherited,Third generation,"Retail, Restaurant",Non-Traded Sectors,H-E-B supermarket,inherited,new,5.3,1
2012,Johann Graf,193.0,Austria,Europe,1947,male,self-made,Unknown,Consumer,Traded Sectors,Novomatic Automatenhandels AG,founder non-finance,new,5.3,1
2012,Jeffrey Hildebrand,193.0,United States,North America,1959,male,Unknown,Unknown,Energy,Resource Related,Unknown,Unknown,Unknown,5.3,1
2011,Nikolai Tsvetkov,193.0,Russia,Europe,1961,male,self-made,Unknown,Money Management,Financial,Financial Corporation Uralsib,self-made finance,new,5.3,1
2000,Serge Kampf,193.0,France,Europe,Unknown,male,Unknown,Unknown,Technology-Computer,New Sectors,Unknown,Unknown,Unknown,2.1,1
2011,Antonio Ermirio de Moraes,193.0,Brazil,Latin America,1929,male,inherited,inherited from father,Non-consumer industrial,Traded Sectors,Votorantim Group,inherited,new,5.3,1
2006,Edward Lampert,194.0,United States,North America,1963,male,self-made,Unknown,Hedge funds,Financial,ESL Investment,founder non-finance,new,3.5,1
2005,Steven Jobs,194.0,United States,North America,1955,male,self-made,Unknown,Technology-Computer,New Sectors,Apple,founder non-finance,new,3.0,1
2005,George Lucas,194.0,United States,North America,1945,male,self-made,Unknown,Media,Non-Traded Sectors,Lucasfilm,founder non-finance,new,3.0,1
2007,Shari Arison,194.0,Israel,Middle East/North Africa,1958,female,inherited,inherited from father,"Retail, Restaurant",Non-Traded Sectors,Carnival Corporation,inherited,new,4.3,1
2005,Anton Schlecker,194.0,Germany,Europe,1945,male,Unknown,Unknown,"Retail, Restaurant",Non-Traded Sectors,Unknown,Unknown,Unknown,3.0,1
2006,Alexander Lebedev,194.0,Russia,Europe,1960,male,Unknown,Unknown,Media,Non-Traded Sectors,Unknown,Unknown,Unknown,3.5,1
2005,Henry Fok,194.0,Hong Kong,East Asia,1924,male,self-made,Unknown,Real Estate,Financial,Sociedade de Turismo e Divers?es de Macau,self-made finance,new,3.0,1
2007,Kwek Leng Beng,194.0,Singapore,East Asia,1941,male,inherited,inherited from father,Diversified financial,Financial,Hong Leong Group,inherited,new,4.3,1
2008,Kunio Busujima,194.0,Japan,East Asia,1982,male,self-made,Unknown,"Retail, Restaurant",Non-Traded Sectors,Sankyo,founder non-finance,new,5.3,1
2008,Hubert Burda,194.0,Germany,Europe,1940,male,inherited,inherited from father,Media,Non-Traded Sectors,Hubert Burda Media,inherited,new,5.3,1
2001,Mikhail Khodorkovsky,194.0,Russia,Europe,1964,male,self-made,Unknown,Energy,Resource Related,Yukos,privatized and resources,privatization,2.4,1
2005,Charoen Sirivadhanabhakdi,194.0,Thailand,East Asia,1945,male,self-made,Unknown,Consumer,Traded Sectors,ThaiBev,privatized and resources,privatization,3.0,1
2005,Ann Walton Kroenke,194.0,United States,North America,1950,female,inherited,inherited from father,"Retail, Restaurant",Non-Traded Sectors,Walmart,inherited,new,3.0,1
2007,Hiroko Takei,194.0,Japan,East Asia,Unknown,male,Unknown,Unknown,Real Estate,Financial,Unknown,Unknown,Unknown,4.3,1
2007,Jeronimo Arango,194.0,Mexico,Latin America,1926,male,self-made,Unknown,"Retail, Restaurant",Non-Traded Sectors,Aurrera,founder non-finance,new,4.3,1
